,Comment
99,Booo your a terrible person in the CS community. Don’t watch this trash.
100,⚠️ Please take down the video and make a proper tutorials for *beginners*.
101,Command ls -a is not working in my system<br>   Please suggest the solution of it.
102,TAKE this video down
103,Can we label Apna college as Spammer college
104,good morning sirs
105,Please take down this video and upload a new one with your own GitHub repo to let people test. You cannot &quot;hand-wave&quot; a problem you created by just putting up a notice in your comment section. Please know that this does not reflect well on all Indian programmers.
106,Good morning sars
107,Reported
108,GOOD MORNINGSARS
109,This course is helpful ☺️
110,😇Well explained😇
111,Ek Linux ki video banao na
112,How to obtain SSH key 😢
113,What do you put in the command prompt to poo in loo?
114,didi full stack web devlopment ka be ek series youtube me karlo na
115,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2280"">38:00</a>"
116,Thanku
117,Thank you didi
118,An amazing teacher Excellent explanation with scenarios
119,Helpful
120,"Edit out that part, you&#39;ve already screwed up the repo"
121,"Imagine Micheal Jackson with popcorn, I’m just here for the drama"
122,Indians are at it again.
123,Muje error arha he  -a se hidden file .git show nhi horhi what is prob
124,Plz typescript
125,"Best video ever, ignore the haters &lt;3"
126,Why it sounds like every second sentence is english?
127,"All is going good with GitHub and vs code ,but whenever I use push command it&#39;s not showing the same on GitHub what to do??"
128,"thank u so much for this video<a href=""UCkszU2WH9gy1mb0dV-11UJg/Iv90XouTLuOR8gSxxrToBA""></a>"
129,People like you are disgrace to the Indian tech community! Freshers please stop learning from Bhaiya/Didi YouTube channels and learn from real tutorials or official documentations. I am being regularly in interview panels and can easily identify those who learnt from Bhaiya/Didi channels and straight away reject you from further rounds!
130,worse audience ever
131,Becoz of this type of video genuine Indian contributors are also labelled as spammers..
132,how to upload a file on github more than 25mb ?????
133,Thank you mam❤❤.
134,take down the video
135,How can someone who has served for Microsoft can be so irresponsible. <br>There are some ethics that one should follow.<br>Please take down the video !
136,Wow you could&#39;ve literally just created a repo in a colleague&#39;s account which pretends to be &quot;another company&quot; for the sake of demonstration. Why on earth did you have to use an active project?!<br><br>Please take this video down or edit the part about forks...
137,"Absolutely brilliant video, excellent presentation"
138,Takedown the vedio
139,"<a href=""https://www.youtube.com/watch?v=o2CSJYXJBpc"">https://youtu.be/o2CSJYXJBpc?si=T_V0VdaSvcWdWpIR</a>"
140,Take the Video down.<br>The damage is already done.
141,How did she get hired by Microsoft ?? 🥴
142,YOU GUYS BETTER TAKE THIS VIDEO DOWN RN !!!
143,disrespectful
144,Apna college is obviously for completely disrespectful idiots
145,nice video mam
146,just take it down
147,Test
148,"<a href=""https://www.youtube.com/watch?v=o2CSJYXJBpc"">https://www.youtube.com/watch?v=o2CSJYXJBpc</a>"
149,Just take the fucking video down
150,Please STOP !
151,dude take this down causing a huge ruckus amng devs
152,idiots
153,The only responsible thing to do is take this video down
154,Didi 🤡 take down the video basadh macha di aapne <br>Lagat nai aap jaise logon ki bhi Microsoft mai job lag jati hai 🤡
155,Kindly pdf nonote arrange karwa dye k0i
156,does not working vs code
157,Thank you!!
158,Pls trim that part please.
159,Thank you for such amazing session.
160,Who came here after seeing yesterday&#39;s video like here 👇
161,Trim this video mam :)
162,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1280"">21:20</a> Home Directory ✅"
163,Hi /g/
164,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=4384"">1:13:04</a> main culprit 5 month ke bad bomb phuta🤣🤣🤣🤣🤣"
165,mam g  please make a one shot video on REACT JS .
166,💯% helfol video
167,Thank you😌
168,Good explanation.
169,Good morning sirs!
170,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=4380"">1:13:00</a>"
171,Can you show a banner to not spam ExpressJS?
172,"This has become a source of spam PRs in the express js repo.<br><br>Please stop making PRs on real projects. You can practise by creating, forking, pushing to YOUR OWN repo.<br><br>I think apna college should take responsibility and take this video down (or trim the github demo). Help the maintainers of express js in reducing the spam PRs."
173,"Denied permission <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2820"">47:00</a>"
174,I got problem while git push origin main
175,thank you didi
176,fatal:pathspec didnot match any files how to solve?
177,please start C# full course and how to use ViSUAL STUDIO IDE <br>please start C# full course and how to use ViSUAL STUDIO IDE <br>please start C# full course and how to use ViSUAL STUDIO IDE <br>please start C# full course and how to use ViSUAL STUDIO IDE
178,please start C# full course<br>please start C# full course<br>please start C# full course<br>please start C# full course<br>please start C# full course<br>please start C# full course
179,please start C# full course<br>please start C# full course
180,please start C# full course
181,please start C# full course
182,please start C# full course
183,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1219"">20:19</a> 😂😂😂"
184,"<a href=""http://www.youtube.com/results?search_query=%23version"">#Version</a> Control System.."
185,"Thank you for giving top notch knowledge,i really impressed by the quality of your content and all the knowledge and teaching skill you have."
186,Can&#39;t automatically merge &#39;a error occur when I open a pull request ⌛
187,Thanks a lot shraddha didi 🤩🤩
188,If someone facing problem with ls -a in windows use ls -Force
189,thanks
190,very informative shradha
191,Very helpful ❤❤
192,"Why you&#39;re not Teaching in English 😔😔 . I don&#39;t know Hindi , Your channel has All the content useful for freshers but those are only for their native speakers . big disappointment"
193,Mam Really you are great  about teaching......
194,Awesome video learned a lot from this video highly recommended
195,Thank you 🙏
196,will i learn git after watching this video can i add it to my resume
197,"If we clone a remote repo to a local repo once, than later if we add files and folders to that local repo, than how we can upload it to the remote repo???"
198,Thank you
199,One&#39;s facing problem in ls -a command in terminal --&gt; Open the Terminal dropdown (next to the + icon) and select  Command Prompt( Default) option
200,Very Well Explained with Examples<br>Thanks !!
201,unable to clone repo from github
202,fatal: not a git repository (or any of the parent directories): .git<br> how to fix this problem
203,Thank you mam ❤
204,an amazing session .. thanks to Shradha didi ❤❤❤❤
205,Very Useful Video.<br>Thank You !
206,jab me push command run karta ho to &quot;unable to access &quot; ka message arrha he ye kya masla he anyone ???
207,Ma&#39;am<br>React.js ki one shot video laao plzzz
208,"Watched till :- <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2941"">49:01</a>"
209,thank you
210,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w"">0:00</a> Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=67"">1:07</a> Git Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=300"">5:00</a> GitHub Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=445"">7:25</a> Setting Up GitHub<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=986"">16:26</a> Setting Up Git<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1213"">20:13</a> Configuring Git<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1383"">23:03</a> Working with VS Code<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1442"">24:02</a> Clone and Status<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1943"">32:23</a> Add and Commit<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2155"">35:55</a> Push Command<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2371"">39:31</a> Init Command<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2949"">49:09</a> Work Flow"
211,Thank you Mam !
212,Nice and helpful 👍
213,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1218"">20:18</a>"
214,Best tutorial i have ever seen 🤌🤝🖤
215,Amazing Helpfull tutorial
216,"Sir, I have facing some problem on GitHub, can you please solve it.<br><br>After pushing my flutter project, the language specification is showing the project is written in C++ mostly. But this project is written in Dart."
217,Please provide AWS complete course
218,Amazing
219,Video me Jo title aa rha he usko hata dijiye Madam code nhi dikhta he
220,Very Helpful Session😊👍
221,Bahut he achha lga tutorial ko complete krke aap aise he aur bhi tutorials bnati raho<br>Best of luck 🤞
222,"I have watched so many videos,that didn&#39;t help at all.<br>Shradha didi you are a true angel for us.thank you"
223,Jus loved it fabulous!!!!!👏👏
224,I ls -a command is not working showing Get-ChildItem : Parameter cannot be processed because the parameter name<br>&#39;a&#39; is ambiguous. Possible matches include: -Attributes<br>-Dinectory -File -Hidden -Readonly -system.<br>At line:1 char:4
225,"day_1 <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2897"">48:17</a>"
226,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3225"">53:45</a>"
227,Thank you so much mam !!❤❤
228,Nice contribution but need more improvement!
229,Really Helpful thank you!
230,Mam need all tutorial for devops ...its very helpful to understand.... thanks a lot .. please need all tutorial for devops
231,How can we maintain SAP ABAP projects on GIT ?
232,exeptional........madam
233,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2798"">46:38</a>"
234,"I didn&#39;t understand the part <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2579"">42:59</a>"
235,please provide docker and kubernetes tutorial
236,For those who faced such a problem e.g. &quot;ls -a&quot;. I would like to tell you can resolve this problem by this &quot;ls -hidden&quot;
237,"Finally, I have completed this video, thank you so much Shraddha ma&#39;m for this. It&#39;s one of the best GitHub video , easy to understand. You cleared my all doubts, now I&#39;m feeling confident. so thank so you much ma&#39;m ❤"
238,kindly upload its second part if you can
239,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2379"">39:39</a> how to push repos from local machine to github"
240,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2187"">36:27</a> mins : how to push"
241,"Amazing tutorial, brilliantly explained. God bless you. Keep making tutorials in such a easy language ki coding se hi pyaar ho jaye💌💌"
242,microsoft ka h n github. wo to definitely yhi use krega
243,You’re awesome 🫡
244,"What a lecture , Just loved it ❤🤌"
245,110
246,"for those who are not able to find git in vscode terminal or any terminal, first close terminal and then retry."
247,me bangaldesh se huoo. Me kese git and github notes download karungi...
248,Thank you didi
249,"PS C:\Users\sharm\OneDrive\Desktop\Git-demo&gt; git --version<br>git : The term &#39;git&#39; is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was included, verify <br>that the path is correct and try again.<br>At line:1 char:1<br>+ git --version<br>+ ~~~<br>    + CategoryInfo          : ObjectNotFound: (git:String) [], CommandNotFoundException<br>    + FullyQualifiedErrorId : CommandNotFoundException<br><br>I&#39;m getting this error when i&#39;m checking my git version in terminal<br>please help"
250,ppt kaha hai iski jo mam use kr rhe hai?
251,Cheat sheet Kahan se download karna hai GitHub ke comments ki
252,Nice 👍
253,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2933"">48:53</a>"
254,&#39;-&#39; is not minus but hyphen.
255,"plz make a tutorial on ci/cd pipeline Jenkins, docker &amp; Kubernetes step by step"
256,thanks for the tutorial
257,"Amazing. Clear and succinct explanation. honestly, I was sceptical by looking at the duration of less than 1.5 hr but it&#39;s a worthy course.<br>Would have been even better had you slowed a bit your pace of spekaing :)<br>Highly recommended though."
258,I dont think you should use Microsoft name nowdays...You dont need that.
259,thankyou so much
260,What language is that ?
261,Thanks Mam<br>Really Useful Content
262,Thank you DIDI.khush rho ap hamesha
263,"hello di.....Bootstrap ka v ek one shot video bna dijiye.<br> i watched your all one shot video &amp; learn these skills very well."
264,thank you mam for such a informative lecture
265,Thank you so so so so much shraddha...🤗🤗♥♥♥♥
266,🤞
267,"when i am using &quot;git push origin main&quot; command, at my github only file names are shown .The code inside them is zero."
