Comment,Author,Published At,Published Year
Thanku,@nexonbgmi7488,2024-02-13T11:44:40Z,2024
Thank you didi,@shivalingbiradar6208,2024-02-13T10:55:58Z,2024
An amazing teacher Excellent explanation with scenarios,@yaalia.smadad4218,2024-02-13T06:43:28Z,2024
Helpful,@rohitkumardubey1669,2024-02-13T00:23:31Z,2024
"Edit out that part, you&#39;ve already screwed up the repo",@pewpew1010,2024-02-12T18:19:14Z,2024
"Imagine Micheal Jackson with popcorn, I’m just here for the drama",@rykerkobayashi6517,2024-02-12T10:40:39Z,2024
Indians are at it again.,@bobmadeofsponge,2024-02-12T09:10:12Z,2024
Muje error arha he  -a se hidden file .git show nhi horhi what is prob,@shees143.,2024-02-12T08:06:26Z,2024
Plz typescript,@shees143.,2024-02-12T06:48:29Z,2024
"Best video ever, ignore the haters &lt;3",@ByteBanterYT,2024-02-11T15:54:16Z,2024
Why it sounds like every second sentence is english?,@Jorma___,2024-02-11T12:59:15Z,2024
"All is going good with GitHub and vs code ,but whenever I use push command it&#39;s not showing the same on GitHub what to do??",@alwaysdreamer7,2024-02-11T11:59:46Z,2024
"thank u so much for this video<a href=""UCkszU2WH9gy1mb0dV-11UJg/Iv90XouTLuOR8gSxxrToBA""></a>",@abhishekpranjale779,2024-02-11T05:08:42Z,2024
People like you are disgrace to the Indian tech community! Freshers please stop learning from Bhaiya/Didi YouTube channels and learn from real tutorials or official documentations. I am being regularly in interview panels and can easily identify those who learnt from Bhaiya/Didi channels and straight away reject you from further rounds!,@pradeepsimha9296,2024-02-10T15:21:58Z,2024
worse audience ever,@binarylover,2024-02-10T11:35:39Z,2024
Becoz of this type of video genuine Indian contributors are also labelled as spammers..,@sirargupta,2024-02-10T10:21:17Z,2024
how to upload a file on github more than 25mb ?????,@user-dt3il9js7k,2024-02-10T06:50:34Z,2024
Thank you mam❤❤.,@RitikKumar-km5io,2024-02-10T06:00:18Z,2024
take down the video,@chilamchan6985,2024-02-10T02:57:07Z,2024
How can someone who has served for Microsoft can be so irresponsible. <br>There are some ethics that one should follow.<br>Please take down the video !,@ayushishukla7892,2024-02-09T22:18:29Z,2024
Wow you could&#39;ve literally just created a repo in a colleague&#39;s account which pretends to be &quot;another company&quot; for the sake of demonstration. Why on earth did you have to use an active project?!<br><br>Please take this video down or edit the part about forks...,@adtc,2024-02-09T20:47:26Z,2024
"Absolutely brilliant video, excellent presentation",@SurendraSingh-bd5wc,2024-02-09T18:31:40Z,2024
Takedown the vedio,@adichoudhary9325,2024-02-09T14:23:23Z,2024
"<a href=""https://www.youtube.com/watch?v=o2CSJYXJBpc"">https://youtu.be/o2CSJYXJBpc?si=T_V0VdaSvcWdWpIR</a>",@dhrubojyotibarman9690,2024-02-09T14:21:26Z,2024
Take the Video down.<br>The damage is already done.,@vishal-shinde,2024-02-09T13:12:37Z,2024
How did she get hired by Microsoft ?? 🥴,@sahadpop4135,2024-02-09T12:26:12Z,2024
YOU GUYS BETTER TAKE THIS VIDEO DOWN RN !!!,@sahadpop4135,2024-02-09T12:25:19Z,2024
disrespectful,@codingchannel6263,2024-02-09T11:34:24Z,2024
Apna college is obviously for completely disrespectful idiots,@IIIlIIIIlIIIII,2024-02-09T09:51:04Z,2024
nice video mam,@user-es8pj2mn8h,2024-02-09T08:18:53Z,2024
just take it down,@user-es8pj2mn8h,2024-02-09T08:14:25Z,2024
Test,@user-es8pj2mn8h,2024-02-09T08:13:42Z,2024
"<a href=""https://www.youtube.com/watch?v=o2CSJYXJBpc"">https://www.youtube.com/watch?v=o2CSJYXJBpc</a>",@jamesheller2707,2024-02-09T06:46:05Z,2024
Just take the fucking video down,@reedamm,2024-02-09T06:45:00Z,2024
Please STOP !,@aryanbose9084,2024-02-09T03:41:21Z,2024
dude take this down causing a huge ruckus amng devs,@chaitanya812,2024-02-09T03:16:22Z,2024
idiots,@syaefulamri411,2024-02-09T03:08:42Z,2024
The only responsible thing to do is take this video down,@TomDoesTech,2024-02-09T02:33:45Z,2024
Didi 🤡 take down the video basadh macha di aapne <br>Lagat nai aap jaise logon ki bhi Microsoft mai job lag jati hai 🤡,@ApexModi6000,2024-02-09T00:47:32Z,2024
Kindly pdf nonote arrange karwa dye k0i,@abdulfahadwarsi1216,2024-02-08T15:06:39Z,2024
does not working vs code,@bhupedevv8031,2024-02-08T10:59:38Z,2024
Thank you!!,@user-jf1gf2rr2w,2024-02-08T09:17:20Z,2024
Pls trim that part please.,@abh1nn,2024-02-08T08:56:55Z,2024
Thank you for such amazing session.,@vishal_mule5969,2024-02-08T07:05:03Z,2024
Who came here after seeing yesterday&#39;s video like here 👇,@priyankardas9403,2024-02-08T05:20:39Z,2024
Trim this video mam :),@AbhishekSharma-ti4sn,2024-02-07T23:17:19Z,2024
"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1280"">21:20</a> Home Directory ✅",@ankushbhagatofficial,2024-02-07T20:52:47Z,2024
Hi /g/,@darinwolf3,2024-02-07T19:53:48Z,2024
"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=4384"">1:13:04</a> main culprit 5 month ke bad bomb phuta🤣🤣🤣🤣🤣",@mukulkumar5133,2024-02-07T17:50:46Z,2024
mam g  please make a one shot video on REACT JS .,@user-ll7em6nx5o,2024-02-07T14:07:19Z,2024
💯% helfol video,@rasdolrana-sq5ty,2024-02-07T08:03:32Z,2024
Thank you😌,@asmitaojha8389,2024-02-07T07:41:50Z,2024
Good explanation.,@vashisthg,2024-02-07T05:37:47Z,2024
Good morning sirs!,@obamabintrump-rb3nf,2024-02-06T23:20:43Z,2024
"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=4380"">1:13:00</a>",@nikhilsawant4541,2024-02-06T22:29:13Z,2024
Can you show a banner to not spam ExpressJS?,@ashishjha9262,2024-02-06T19:17:54Z,2024
"This has become a source of spam PRs in the express js repo.<br><br>Please stop making PRs on real projects. You can practise by creating, forking, pushing to YOUR OWN repo.<br><br>I think apna college should take responsibility and take this video down (or trim the github demo). Help the maintainers of express js in reducing the spam PRs.",@tusharsnx,2024-02-06T19:00:04Z,2024
"Denied permission <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2820"">47:00</a>",@surajthakurcs1722,2024-02-06T16:37:32Z,2024
I got problem while git push origin main,@surajthakurcs1722,2024-02-06T16:36:51Z,2024
thank you didi,@rajkumar-rz1fr,2024-02-06T12:37:22Z,2024
fatal:pathspec didnot match any files how to solve?,@sumitsharma-ss2xr,2024-02-06T12:11:31Z,2024
please start C# full course and how to use ViSUAL STUDIO IDE <br>please start C# full course and how to use ViSUAL STUDIO IDE <br>please start C# full course and how to use ViSUAL STUDIO IDE <br>please start C# full course and how to use ViSUAL STUDIO IDE,@user-ci7wc2ow6t,2024-02-06T09:33:00Z,2024
please start C# full course<br>please start C# full course<br>please start C# full course<br>please start C# full course<br>please start C# full course<br>please start C# full course,@user-ci7wc2ow6t,2024-02-06T09:32:06Z,2024
please start C# full course<br>please start C# full course,@user-ci7wc2ow6t,2024-02-06T09:31:43Z,2024
please start C# full course,@user-ci7wc2ow6t,2024-02-06T09:31:38Z,2024
please start C# full course,@user-ci7wc2ow6t,2024-02-06T09:31:31Z,2024
please start C# full course,@user-ci7wc2ow6t,2024-02-06T09:17:33Z,2024
"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1219"">20:19</a> 😂😂😂",@opgamer0966,2024-02-06T04:58:53Z,2024
"<a href=""http://www.youtube.com/results?search_query=%23version"">#Version</a> Control System..",@DDR70,2024-02-05T18:33:21Z,2024
"Thank you for giving top notch knowledge,i really impressed by the quality of your content and all the knowledge and teaching skill you have.",@VlogsByNitinSehgal,2024-02-05T18:02:52Z,2024
Can&#39;t automatically merge &#39;a error occur when I open a pull request ⌛,@Anukool_Sharma,2024-02-05T12:39:10Z,2024
Thanks a lot shraddha didi 🤩🤩,@02amanatar46,2024-02-05T11:46:08Z,2024
If someone facing problem with ls -a in windows use ls -Force,@02amanatar46,2024-02-05T11:31:53Z,2024
thanks,@unknown-kn4uf,2024-02-05T09:40:48Z,2024
very informative shradha,@syedadnanh1921,2024-02-04T22:21:13Z,2024
Very helpful ❤❤,@bishalkumarshaw2789,2024-02-04T18:45:20Z,2024
"Why you&#39;re not Teaching in English 😔😔 . I don&#39;t know Hindi , Your channel has All the content useful for freshers but those are only for their native speakers . big disappointment",@kovarathinans3109,2024-02-04T06:27:34Z,2024
Mam Really you are great  about teaching......,@ashimmistry4441,2024-02-03T18:40:29Z,2024
Awesome video learned a lot from this video highly recommended,@wrkrebel,2024-02-03T17:11:12Z,2024
Thank you 🙏,@healthfitnessworkouts7198,2024-02-03T14:39:52Z,2024
will i learn git after watching this video can i add it to my resume,@akshat4773,2024-02-03T13:05:06Z,2024
"If we clone a remote repo to a local repo once, than later if we add files and folders to that local repo, than how we can upload it to the remote repo???",@4kearth362,2024-02-03T07:30:22Z,2024
Thank you,@AasmaniKhazana,2024-02-02T16:01:29Z,2024
One&#39;s facing problem in ls -a command in terminal --&gt; Open the Terminal dropdown (next to the + icon) and select  Command Prompt( Default) option,@anujasingh6281,2024-02-02T12:01:22Z,2024
Very Well Explained with Examples<br>Thanks !!,@saurabhfule4295,2024-02-02T05:33:19Z,2024
unable to clone repo from github,@abhigyanpandey9697,2024-02-01T22:36:47Z,2024
fatal: not a git repository (or any of the parent directories): .git<br> how to fix this problem,@meditationmusic2637,2024-02-01T20:38:08Z,2024
Thank you mam ❤,@debasisbarik5444,2024-02-01T05:11:50Z,2024
an amazing session .. thanks to Shradha didi ❤❤❤❤,@SatyamKumar-vr8im,2024-01-31T19:23:57Z,2024
Very Useful Video.<br>Thank You !,@VivekPatel-bd2lj,2024-01-31T13:29:45Z,2024
jab me push command run karta ho to &quot;unable to access &quot; ka message arrha he ye kya masla he anyone ???,@user-ne9bp8vc3e,2024-01-31T09:09:29Z,2024
Ma&#39;am<br>React.js ki one shot video laao plzzz,@CodewithCoffee365,2024-01-30T19:58:36Z,2024
"Watched till :- <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2941"">49:01</a>",@inamgulzar7290,2024-01-30T18:15:08Z,2024
thank you,@user-oy6mw8mf4h,2024-01-29T14:56:43Z,2024
"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w"">0:00</a> Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=67"">1:07</a> Git Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=300"">5:00</a> GitHub Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=445"">7:25</a> Setting Up GitHub<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=986"">16:26</a> Setting Up Git<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1213"">20:13</a> Configuring Git<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1383"">23:03</a> Working with VS Code<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1442"">24:02</a> Clone and Status<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1943"">32:23</a> Add and Commit<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2155"">35:55</a> Push Command<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2371"">39:31</a> Init Command<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2949"">49:09</a> Work Flow",@debprosad6890,2024-01-28T14:09:30Z,2024
Thank you Mam !,@MATHEMATICIANMUHAMMADAHMAD,2024-01-28T13:52:58Z,2024
Nice and helpful 👍,@AbhishekNigam-bg2ue,2024-01-27T20:15:05Z,2024
"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1218"">20:18</a>",@sumedhchabukswar8371,2024-01-27T11:36:58Z,2024
Best tutorial i have ever seen 🤌🤝🖤,@_xulkarnain_,2024-01-26T14:35:07Z,2024
Amazing Helpfull tutorial,@usamaansari4231,2024-01-26T06:24:12Z,2024
"Sir, I have facing some problem on GitHub, can you please solve it.<br><br>After pushing my flutter project, the language specification is showing the project is written in C++ mostly. But this project is written in Dart.",@nayeemx11,2024-01-26T04:17:03Z,2024
Please provide AWS complete course,@tulikachoudhury8532,2024-01-25T15:03:27Z,2024
Amazing,@Mr_Kaif__,2024-01-25T13:03:50Z,2024
